Rec,Inf,UID,Name,Best Pos,Age,Club,Division,Mins,Tgls/90,Tcon/90,Gls,Goals Outside Box,Shot/90,xG/shot,Shot %,ShT/90,Shots Outside Box/90,Gls/90,xG/90,NP-xG/90,xG-OP,Conv %,Ast,Asts/90,Ps A/90,Pas %,xA/90,OP-KP/90,Ch C/90,Drb/90,Pr passes/90,OP-Crs A/90,OP-Cr %,Crs A/90,Cr C/A,Tck A,Tck R,Pres A/90,Pres C/90,Poss Won/90,Poss Lost/90,K Tck/90,Int/90,Clr/90,Blk/90,Shts Blckd/90,Aer A/90,Hdr %,K Hdrs/90,Sprints/90,Dist/90,Gl Mst,Fls,FA,Yel,Red,Wage,Transfer Value
- - -,Lst,91151058,Jan-Niklas Beste,AM (L),27,Freiburg,Bundesliga,"1,239",1.53,1.23,1,0,0.87,0.13,25%,0.22,0.36,0.07,0.11,0.11,-0.54,8%,8,0.58,42.06,84%,0.37,1.23,1.16,3.85,3.78,6.25,16%,10.68,10%,50,80%,14.02,3.78,7.7,18.38,0.07,2.11,1.31,0.44,0.22,4,18%,0.07,19.18,14.1km,0,21,24,6,0,"£36,000 p/w",£4.5M
- - B- -,,85137101,Amine Harit,AM (C),28,Marseille,Ligue 1 Uber Eats,"1,717",1.83,1.21,4,2,2.15,0.15,63%,1.36,1.05,0.21,0.31,0.27,-1.95,10%,5,0.26,38.21,80%,0.31,1.78,1.1,4.25,4.35,4.35,20%,9.33,21%,52,85%,11.9,3.09,5.98,17.87,0.1,1.89,0.37,0.26,0.1,3.46,21%,0,12.42,13.7km,0,28,48,3,0,"£82,000 p/w",£4M - £7.2M
- - -,,2000042460,Saud Abdulhamid,D (R),26,Lens,Ligue 1 Uber Eats,"1,172",2,1.38,0,0,0.77,0.08,60%,0.46,0.54,-,0.07,0.07,-0.85,-,7,0.54,40.7,89%,0.48,2.3,1.08,3.23,5.38,6.91,21%,10.9,21%,34,88%,9.6,3.23,10.98,13.21,0.08,2.92,0.92,0.46,0.23,2.76,22%,0.15,19.58,14.4km,0,7,10,0,0,"£35,000 p/w",£4.3M - £6.6M
- - -,Wnt,16191722,Alexander Prass,M (L),25,Hoffenheim,Bundesliga,"1,315",1.1,2.46,0,0,0.68,0.08,10%,0.07,0.48,-,0.05,0.05,-0.76,-,4,0.27,33.6,77%,0.28,1.64,1.03,2.46,4.31,5.61,15%,5.61,14%,67,87%,11.84,3.15,13.83,15.47,0.21,3.01,2.67,1.51,0.41,6.57,61%,0.41,15.81,14.2km,0,17,12,2,0,"£40,000 p/w",£350K - £7M
- - -,,49060523,Farès Chaïbi,AM (C),23,Eintracht Frankfurt,Bundesliga,"1,052",1.11,1.2,1,1,1.37,0.08,31%,0.43,1.03,0.09,0.11,0.11,-0.25,6%,1,0.09,59.71,84%,0.36,1.28,1.03,1.54,5.73,1.37,22%,8.64,18%,28,86%,14.29,4.88,7.53,15.57,0.09,1.71,0.68,0.43,0.34,2.4,36%,0,12.32,13.7km,0,6,10,0,0,"£15,000 p/w",£12.5M - £16M
- - -,Wnt,2000033291,Valentín Barco,M (L),21,Strasbourg,Ligue 1 Uber Eats,"1,212",1.71,2.15,0,0,0.89,0.08,67%,0.59,0.52,-,0.07,0.07,-0.93,-,7,0.52,37.72,83%,0.32,1.41,0.97,2.3,4.16,4.53,19%,9.21,18%,55,85%,12.48,3.19,11.06,13.22,0.22,2.38,1.04,0.67,0.22,3.79,39%,0,17.6,14.1km,1,16,13,3,0,"£26,000 p/w",£11.5M - £14.5M
- - -,Inj,2000071620,Joel Mvuka,AM (R),23,Lorient,Ligue 1 Uber Eats,"2,106",1.41,1.15,3,0,1.37,0.17,41%,0.56,0.51,0.13,0.23,0.23,-2.35,9%,4,0.17,30.6,82%,0.23,1.5,0.94,3.55,3.29,6.62,13%,8.29,11%,86,80%,13.03,3.12,7.86,15.04,0,2.65,1.45,0.34,0.13,5.3,15%,0.04,14.15,13.8km,0,21,33,1,0,"£2,900 p/w",£45K - £5.4M
- - -,,91105585,Christian Günter,D (L),33,Freiburg,Bundesliga,"3,189",1.44,1.02,3,1,0.56,0.11,35%,0.2,0.34,0.08,0.06,0.06,0.79,15%,14,0.4,46.09,86%,0.29,1.58,0.9,2.85,6.15,6.55,19%,9.88,17%,148,85%,11.88,3.08,12.05,18.26,0.08,3.41,1.07,0.51,0.17,3.19,57%,0.11,18.97,14.1km,1,55,33,9,0,"£20,000 p/w",Not for Sale
- - -,Wnt,92103754,Jamie Leweling,AM (R),25,Stuttgart,Bundesliga,"1,509",1.61,0.95,2,0,0.95,0.13,56%,0.54,0.48,0.12,0.13,0.13,-0.13,13%,4,0.24,34.95,81%,0.2,1.49,0.89,2.56,5.13,5.84,6%,5.84,6%,52,90%,11.93,3.4,6.92,15.92,0,1.79,1.19,0.18,0,4.53,37%,0.06,16.52,14.1km,0,26,26,1,0,"£35,000 p/w",£60K - £7.2M
- - -,Wnt,48039548,Mathias Pereira Lage,AM (R),29,St Pauli,Bundesliga,"1,828",1.08,1.87,3,0,1.62,0.12,42%,0.69,0.54,0.15,0.19,0.19,-0.89,9%,4,0.2,32.59,80%,0.26,1.77,0.84,2.12,3.84,4.04,24%,5.46,23%,68,81%,12.16,3.35,8.96,12.95,0.05,2.07,1.03,0.34,0.05,6.7,39%,0.05,13.1,13.4km,0,42,34,5,1,"£10,000 p/w",£375K - £3.6M
